,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
1992-01-01,7626.1517953,7630.8039275,7518.94813,4408.7400163,4406.3994194,4382.875246,3217.411779,3224.4045081,3136.072884,5890.1934452,5894.1144998,5905.891429,3991.5724293,3992.0830077,3990.392565,1898.6210159,1902.0314922,1915.498864,1735.9583502,1736.6894276,1613.056701,417.167587,414.3164117,392.4826808,1318.7907631,1322.3730159,1220.57402,56.3563341,56.3961952,55.5695141,66.1923262,66.1635939,65.8103704,46.8230252,46.9287435,45.6431442,883.5181832,880.9627825,948.5523268,534.5767463,531.0605929,581.1363284,348.9414369,349.9021896,367.4159984,745.2680396,740.1891325,809.9397182,489.7409823,486.3091576,531.1386547,255.5270573,253.8799749,278.8010635,138.2501436,140.77365,138.6126086,44.835764,44.7514353,49.9976738,93.4143796,96.0222147,88.6149348,10.3825199,10.3499404,11.2022708,10.8141309,10.7557447,11.7069898,9.7842646,9.7893723,10.4871461,11.2315932,11.1569981,12.0601561,10.9285144,10.8590123,11.7468758,11.8620934,11.7759926,12.7056953,7.3764549,7.4980782,7.9131722,9.7046404,9.7483271,11.299411,6.6147882,6.7697785,6.7686895,8509.6699785,8511.7667099,8467.500457,4943.3167626,4937.4600123,4964.011574,3566.353216,3574.3066976,3503.488883,62.885426,62.9070359,62.5798819,74.2184012,74.1376503,74.5363311,51.9011733,52.0213024,50.9906032,5063.206543,1695.843426,3367.363117,13530.707,6659.855,6870.852
1992-02-01,7624.9900637,7650.2141898,7597.175453,4406.9572286,4417.1983324,4400.350163,3218.0328351,3233.0158574,3196.82529,5876.6919702,5883.9486607,5881.716007,3982.0482466,3972.2038822,3976.753912,1894.6437237,1911.7447784,1904.962095,1748.2980935,1766.2655292,1715.459446,424.908982,444.9944502,423.5962507,1323.3891114,1321.271079,1291.863196,56.2827985,56.4643417,56.0728759,66.0897809,66.2362727,65.9836329,46.7778637,46.9921789,46.4661457,889.6285134,888.3772643,982.7667093,539.5126819,538.4932689,583.165801,350.1158316,349.8839954,399.6009083,752.4507228,749.9000604,825.9210131,495.2746892,491.6294469,531.122905,257.1760335,258.2706134,294.7981081,137.1777906,138.4772039,156.8456962,44.2379926,46.8638219,52.042896,92.939798,91.613382,104.8028002,10.4482486,10.4042601,11.4542347,10.9070244,10.8661578,11.7018949,9.8122546,9.7653859,11.1110554,11.3506491,11.3041477,12.3131441,11.0618487,11.0136157,11.7821078,11.9515602,11.9017872,13.4013747,7.2754996,7.2701264,8.3771439,9.4294528,9.5279117,10.9416764,6.5620208,6.4841383,7.503784,8514.6185771,8538.5914541,8579.942162,4946.4699105,4955.6916013,4983.515964,3568.1486667,3582.8998529,3596.426199,62.849467,63.0212349,63.3264343,74.1806865,74.311026,74.7282547,51.867206,52.0777746,52.2743812,4968.810838,1685.335036,3283.475801,13548.753,6668.851,6879.902
1992-03-01,7627.0879044,7631.1494633,7646.15694,4406.7562864,4408.5256278,4411.477884,3220.3316179,3222.6238355,3234.679056,5864.7211963,5868.5657023,5858.016771,3973.2027665,3972.7820308,3964.838413,1891.5184297,1895.7836715,1893.178358,1762.3667081,1762.583761,1788.14017,433.5535199,435.743597,446.6394715,1328.8131882,1326.840164,1341.500698,56.2362426,56.2486937,56.3593128,66.0140946,66.0170813,66.061291,46.7595746,46.7796288,46.9546225,895.4564769,895.1181646,935.272207,545.108101,545.7018867,557.8116646,350.3483759,349.416278,377.4605425,759.593153,757.6460201,772.4752784,501.5897325,503.3533911,509.0000304,258.0034205,254.292629,263.4752479,135.8633239,137.4721445,162.7969287,43.5183685,42.3484956,48.8116342,92.3449554,95.1236489,113.9852945,10.5069148,10.4983588,10.8987931,11.0081387,11.0148734,11.2251794,9.8118111,9.7819808,10.4497773,11.4667438,11.434075,11.6503462,11.2092289,11.2452673,11.3772555,12.0028285,11.8271444,12.2168552,7.1573688,7.2351631,8.3445504,9.1219729,8.8578113,9.8519579,6.4978663,6.689597,7.831425,8522.5443813,8526.267628,8581.429147,4951.8643874,4954.2275145,4969.289549,3570.6799938,3572.0401135,3612.139598,62.8386456,62.84655,63.2531419,74.1799235,74.1888941,74.414446,51.8466721,51.8517578,52.4338422,4985.373853,1708.566451,3276.807402,13566.803,6677.856,6888.947
1992-04-01,7632.2901005,7624.4845878,7644.08212,4407.5695485,4408.2479009,4416.387089,3224.7205519,3216.2366869,3227.695031,5855.049042,5851.1436091,5838.125415,3965.9761945,3970.2661086,3966.734943,1889.0728475,1880.8775005,1871.390472,1777.2410584,1773.3409787,1805.956705,441.593354,437.9817923,449.6521465,1335.6477044,1335.3591864,1356.304559,56.2176376,56.1558407,56.3001804,65.9596943,65.9634833,66.0852753,46.775598,46.6492695,46.8154648,901.3580845,891.7671213,894.5883631,550.9748372,542.6862389,537.1720225,350.3832473,349.0808824,357.4163406,766.1568271,762.8410221,758.3536982,507.9700034,502.2441379,495.2583161,258.1868237,260.5968843,263.0953821,135.2012574,128.9260992,136.2346649,43.0048338,40.4421011,41.9137064,92.1964236,88.4839981,94.3209585,10.5624003,10.471357,10.4769046,11.1116246,10.9612898,10.844163,9.8006454,9.7910179,9.9694627,11.5712582,11.5337586,11.4963405,11.3539587,11.2295805,11.099486,12.0240149,12.1690405,12.325937,7.06956,6.7774973,7.014482,8.8743282,8.4531943,8.52657,6.457037,6.2144483,6.5020887,8533.648185,8516.2517091,8538.670483,4958.5443858,4950.9341398,4953.559112,3575.1037992,3565.3175693,3585.111371,62.8568273,62.7238824,62.8890011,74.2050848,74.0840508,74.12333,51.8580185,51.7124442,51.9995395,5038.696517,1729.301888,3309.394629,13577.367,6682.861,6894.506
1992-05-01,7639.3209173,7620.8763378,7631.400055,4408.8878982,4403.8964647,4401.408223,3230.4330191,3216.9798732,3229.991831,5847.3600199,5843.5141508,5822.688786,3960.7305444,3951.5573408,3941.658019,1886.6294755,1891.95681,1881.030767,1791.9608974,1777.362187,1808.711268,448.1573537,452.3391238,459.7502038,1343.8035436,1325.0230632,1348.961064,56.2178364,56.0856108,56.1630598,65.9195796,65.8487483,65.8115432,46.8148406,46.62264,46.811218,908.0663737,905.4466117,901.6900915,556.9396337,556.9434899,555.534505,351.12674,348.5031218,346.1555865,771.8187614,775.3641571,771.4967722,513.753354,515.4800886,514.4584619,258.0654073,259.8840684,257.0383103,136.2476123,130.0824546,130.1933193,43.1862796,41.4634013,41.076043,93.0613327,88.6190534,89.1172763,10.6239058,10.6194267,10.5669819,11.2154446,11.2267982,11.2072004,9.8037381,9.7743594,9.679567,11.6603402,11.7144344,11.6996522,11.4818461,11.5396411,11.5449958,12.0327329,12.0772902,12.0219834,7.0660207,6.8197237,6.7147873,8.7894249,8.3967576,8.2016554,6.4766934,6.2688464,6.1969695,8547.387291,8526.3229495,8533.090146,4965.8275318,4960.8399546,4956.942728,3581.5597591,3565.4829949,3576.147418,62.9003057,62.749218,62.7990209,74.2466741,74.1763809,74.1181081,51.9033047,51.673382,51.827938,5054.844854,1730.954272,3323.890582,13587.935,6687.897,6900.038
1992-06-01,7645.5073985,7633.558128,7637.30849,4409.6348224,4404.0272716,4402.9057,3235.8725761,3229.5308565,3234.40279,5840.7208496,5828.7681114,5804.74177,3957.1753931,3949.5091935,3941.278044,1883.5454565,1879.2589179,1863.463726,1804.7865489,1804.7900167,1832.56672,452.4594293,454.5180781,461.6276563,1352.3271196,1350.2719385,1370.939064,56.2154631,56.1352994,56.1628786,65.8757617,65.8014508,65.7846931,46.8527405,46.7668664,46.8374169,915.9433775,925.0995768,894.7916715,562.8886031,567.4321643,547.507088,353.0547743,357.6674125,347.2845836,776.4752296,780.2393534,760.2758973,518.5080219,520.8574774,506.2900666,257.9672077,259.3818761,253.9858308,139.4681479,144.8602233,134.5157742,44.3805812,46.5746869,41.2170214,95.0875667,98.2855364,93.2987528,10.6984599,10.808933,10.4873555,11.3199789,11.4137945,11.059827,9.8373341,9.9706619,9.6961166,11.7342031,11.8056964,11.5807137,11.5850022,11.6513368,11.3835259,12.0460276,12.1283517,11.994894,7.1733476,7.4300621,6.8383392,8.9325699,9.2946237,8.1967699,6.5694764,6.7850629,6.3718306,8561.450776,8558.6577048,8532.100162,4972.5234255,4971.4594359,4950.412788,3588.9273505,3587.1982689,3581.687374,62.9501608,62.938253,62.7429554,74.2847836,74.279568,73.9651059,51.9646797,51.9462515,51.8664482,5066.398838,1742.490212,3323.908626,13598.499,6692.903,6905.596
1992-07-01,7648.0038961,7651.2177263,7668.259482,4408.6994585,4406.9971645,4421.127827,3239.3044376,3244.2205618,3247.131655,5834.3036602,5842.6157554,5868.131398,3954.3046446,3957.1763158,3973.304346,1879.9990156,1885.4394396,1894.827052,1813.7002359,1808.6019709,1800.128084,454.3948139,449.8208487,447.8234815,1359.305422,1358.7811222,1352.304602,56.1877067,56.2141809,56.3393882,65.8094741,65.7878698,65.998813,46.8626407,46.9358373,46.9779536,924.8003302,959.2116358,904.7739405,568.9919109,593.2574085,562.1898038,355.8084192,365.9542273,342.5841368,780.5487178,816.018114,775.0390403,522.5424514,546.5567704,521.5789617,258.0062663,269.4613436,253.4600785,144.2516124,143.1935218,129.7349003,46.4494595,46.7006381,40.610842,97.8021529,96.4928837,89.1240582,10.7876058,11.1401139,10.55372,11.4308395,11.8645441,11.2814363,9.8970028,10.1367454,9.5434891,11.7999416,12.255038,11.6667041,11.6721085,12.1356386,11.6038377,12.0676159,12.5045824,11.7982403,7.367475,7.3365023,6.7224928,9.2742319,9.4055624,8.3144939,6.712075,6.6305646,6.1830364,8572.8042263,8610.4293621,8573.033423,4977.6913695,5000.254573,4983.317631,3595.1128568,3610.1747891,3589.715791,62.9819514,63.2615946,62.9868433,74.3029218,74.6440455,74.39121,52.0100797,52.2302887,51.9342976,5037.798577,1715.481369,3322.317208,13610.832,6698.799,6912.033
1992-08-01,7645.3690443,7671.0734723,7613.399101,4405.5567311,4417.4842811,4381.936129,3239.8123132,3253.5891912,3231.462972,5827.7661509,5838.117958,5769.652127,3951.0252983,3958.2261449,3921.169173,1876.7408525,1879.8918131,1848.482954,1817.6028935,1832.9555143,1843.746974,454.5314328,459.2581362,460.7669563,1363.0714607,1373.6973781,1382.980018,56.1226307,56.3090403,55.8856852,65.7112679,65.8860778,65.3558827,46.8302186,47.0278273,46.7080118,933.9306464,921.3102758,886.2375365,575.2548446,566.2241168,551.9688624,358.6758018,355.086159,334.2686741,784.8204621,771.3069324,749.7798599,526.4393973,518.4036543,510.3786519,258.3810648,252.9032781,239.401208,149.1101843,150.0033434,136.4576767,48.8154473,47.8204625,41.5902106,100.294737,102.1828809,94.8674661,10.8858611,10.7224061,10.4267697,11.5494199,11.3615017,11.1872617,9.9674027,9.8397923,9.3744765,11.868585,11.669804,11.500693,11.7575332,11.5802217,11.5169388,12.1014666,11.8578329,11.4662112,7.5816949,7.5646221,6.8910896,9.6981722,9.4305819,8.2790121,6.8537005,6.9235211,6.4193002,8579.2996907,8592.3837481,8499.636638,4980.8115757,4983.7083979,4933.904992,3598.488115,3608.6753502,3565.731646,62.9783684,63.0718614,62.391057,74.2915059,74.3312207,73.5884108,52.0147369,52.1602916,51.5395774,5123.528362,1770.826008,3352.702354,13623.165,6704.731,6918.434
1992-09-01,7636.6337551,7635.13194,7709.74096,4399.4713041,4397.63378,4422.906319,3237.162451,3237.49816,3286.83464,5820.9124104,5821.3645352,5841.896402,3946.5589015,3947.5715456,3958.122659,1874.3535089,1873.7929896,1883.773744,1815.7213447,1813.7674048,1867.844557,452.9124026,450.0622344,464.7836607,1362.8089421,1363.7051704,1403.060897,56.0126899,55.9945221,56.5416896,65.5695529,65.532422,65.9090269,46.7517479,46.7517199,47.4641729,942.5790553,906.9172223,910.346127,581.5329694,554.8332593,557.4571388,361.046086,352.083963,352.8889882,789.8340845,761.7068741,753.3584516,530.6257437,512.3745188,512.4087592,259.2083408,249.3323554,240.9496924,152.7449708,145.2103482,156.9876754,50.9072257,42.4587406,45.0483795,101.8377451,102.7516076,111.9392958,10.9867779,10.617092,10.5607533,11.6750145,11.2031691,11.1931015,10.0340512,9.8084944,9.6954886,11.9477291,11.5706914,11.4227345,11.8517726,11.4883568,11.4619206,12.1490896,11.7436474,11.340285,7.7595928,7.4125573,7.7531201,10.1042561,8.6206969,8.8359256,6.9530588,7.0067941,7.3887315,8579.2128104,8542.0491623,8620.087087,4981.0042735,4952.4670394,4980.363458,3598.208537,3589.582123,3639.723629,62.9262581,62.6456706,63.2179851,74.2366981,73.8004063,74.2161117,51.9660477,51.8360566,52.5601347,5015.410913,1730.259542,3285.151371,13635.498,6710.623,6924.875
1992-10-01,7624.615706,7644.380823,7665.683759,4391.505645,4400.1838561,4414.76584,3233.110061,3244.196967,3250.91792,5815.5416845,5813.1087324,5828.230564,3941.5391589,3945.3179181,3957.39169,1874.0025256,1867.7908143,1870.838874,1809.0740216,1831.2720906,1837.453195,449.9664862,454.865938,457.3741501,1359.1075354,1376.4061526,1380.079045,55.8775052,56.0196368,56.1757493,65.3987095,65.5242766,65.7414207,46.6519422,46.810121,46.9070968,949.0554593,953.6589648,893.7439917,586.5377827,588.6823858,551.6495813,362.5176766,364.976579,342.0944105,794.7319068,793.9944945,740.2666876,534.3947764,532.2541228,498.1782929,260.3371304,261.7403717,242.0883947,154.3235525,159.6644704,153.4773042,52.1430063,56.428263,53.4712884,102.1805462,103.2362073,100.0060158,11.0694175,11.0915859,10.4416325,11.7824963,11.7999232,11.1076004,10.0821804,10.1124696,9.5211032,12.022678,12.0172861,11.2699551,11.939291,11.8871147,11.1810227,12.1975492,12.2909856,11.4574883,7.8600256,8.0195659,7.7088228,10.384788,11.0363589,10.4672146,6.9924984,6.9771054,6.7567749,8573.6711654,8598.0397878,8559.427751,4978.0434277,4988.8662419,4966.415421,3595.6277376,3609.173546,3593.01233,62.8327215,63.0082511,62.725294,74.1334846,74.2904984,73.9561774,51.8828664,52.0763234,51.8431352,5086.467249,1748.933579,3337.53367,13645.895,6715.349,6930.546
1992-11-01,7613.2640524,7569.3467931,7587.4465,4383.5376144,4347.603459,4346.701772,3229.726438,3221.7433341,3240.744728,5813.8881954,5779.2418065,5774.636411,3937.387038,3909.3650362,3907.171236,1876.5011575,1869.8767703,1867.465175,1799.375857,1790.1049867,1812.81009,446.1505764,438.2384229,439.5305362,1353.2252806,1351.8665638,1373.279554,55.7446914,55.4275487,55.5600862,65.2247573,64.695758,64.6823402,46.559889,46.4481469,46.7220916,951.8796101,948.6428156,888.2382838,589.3057144,593.1665923,558.7865555,362.5738957,355.4762233,329.4517283,798.0963123,797.5181024,752.3544468,536.7529605,540.6085942,514.4551819,261.3433518,256.9095082,237.8992649,153.7832978,151.1247133,135.883837,52.5527539,52.5579982,44.3313736,101.230544,98.5667151,91.5524634,11.1134109,11.1369332,10.4798409,11.8504782,12.0055495,11.3910485,10.0930842,9.9372213,9.2278319,12.0704504,12.1263071,11.5268194,11.9967851,12.1485797,11.6349762,12.2246193,12.079705,11.2996715,7.8735672,7.784999,6.9730723,10.5378791,10.7087167,9.1619887,6.9600288,6.7956739,6.2500316,8565.1436625,8517.9896088,8475.684784,4972.8433287,4940.7700514,4905.488328,3592.3003338,3577.2195574,3570.196457,62.7144004,62.3741119,62.0643292,73.9933195,73.5225433,72.9975235,51.7867714,51.5730778,51.4718252,5180.605216,1814.586672,3366.018543,13656.29,6720.075,6936.215
1992-12-01,7605.9541769,7599.6591996,7693.386617,4377.405133,4373.380114,4424.512832,3228.5490439,3226.2790856,3268.873785,5817.0920467,5811.2133455,5904.326004,3935.5134931,3925.8769028,3980.243534,1881.5785536,1885.3364427,1924.08247,1788.8621302,1788.4458541,1789.060613,441.8916399,447.5032112,444.2692974,1346.9704903,1340.942643,1344.791316,55.6380506,55.6071797,56.2929891,65.0734844,65.03357,65.7939299,46.4973293,46.4755613,47.0891513,950.1294932,960.4523957,969.2024169,589.2948052,587.0893571,590.9585186,360.834688,373.3630386,378.2438983,798.3267589,803.5544722,809.8581487,536.8654203,533.5663612,532.7982003,261.4613387,269.988111,277.0599484,151.8027342,156.8979235,159.3442682,52.4293849,53.5229958,58.1603184,99.3733493,103.3749276,101.1839499,11.1047242,11.220092,11.1883689,11.8649166,11.8353587,11.7827115,10.0528312,10.3722266,10.3710363,12.0676677,12.1478863,12.0618996,12.0040236,11.9648649,11.805745,12.2004886,12.5265641,12.5870978,7.8222024,8.0653057,8.1781908,10.6063433,10.6826739,11.5758141,6.8706587,7.1573544,6.9976266,8556.0836701,8560.1115953,8662.589034,4966.6999382,4960.4694711,5015.47135,3589.3837319,3599.6421243,3647.117684,62.5883098,62.6348697,63.3847035,73.8338036,73.7637777,74.5816733,51.6940443,51.8539728,52.5378731,5004.097966,1709.33265,3294.765316,13666.687,6724.804,6941.883
1993-01-01,7603.9017115,7650.7741715,7533.699516,4374.2840551,4398.0067488,4367.701924,3229.6176564,3252.7674227,3165.997592,5825.2425417,5849.1341787,5848.854018,3937.1223438,3938.2607653,3931.612641,1888.1201979,1910.8734135,1917.241377,1778.6591698,1801.6399927,1684.845498,437.1617114,459.7459836,436.0892835,1341.4974585,1341.8940092,1248.756215,55.5673586,55.9145643,55.0589413,64.9632778,65.3213104,64.8712086,46.4656368,46.8018029,45.5533323,944.434551,929.6451265,998.9218324,587.0384414,575.6203872,626.1030102,357.3961095,354.0247393,372.8188222,795.1649418,795.7219673,866.5075137,534.8858108,536.1155416,581.9647892,260.2791309,259.6064257,284.5427245,149.2696092,133.9231592,132.4143187,52.1526306,39.5048456,44.138221,97.1169786,94.4183136,88.2760977,11.048168,10.8344953,11.707092,11.8322976,11.5734528,12.5375945,9.9636113,9.8155015,10.5351275,12.0108157,11.9750067,12.9033636,11.9607521,11.9819055,12.8936481,12.1150257,11.9607849,12.92328,7.7424857,6.9190798,7.2864825,10.6583082,7.9128252,9.1911064,6.7507302,6.5736617,6.6023908,8548.3362625,8580.419298,8532.621349,4961.3224966,4973.6271361,4993.804934,3587.0137659,3606.7921619,3538.816414,62.4690435,62.7087397,62.3594154,73.6814911,73.8707011,74.1703914,51.6076194,51.8956181,50.9175624,5150.350651,1739.077066,3411.273586,13682.972,6732.882,6950.09
1993-02-01,7606.2212185,7582.0182492,7530.959309,4374.6664956,4358.424148,4343.875217,3231.5547229,3223.5941012,3187.084092,5836.4227653,5821.3418157,5819.346956,3941.8257364,3935.8466572,3940.391579,1894.5970289,1885.4951585,1878.955376,1769.7984532,1760.6764335,1711.612353,432.8407591,422.5774908,403.4836376,1336.957694,1338.0989427,1308.128715,55.5286168,55.3462207,54.9735074,64.9043805,64.656039,64.4402095,46.4469543,46.3272362,45.80254,936.7337553,938.4262433,1039.33238,583.8839085,582.6628461,631.6887396,352.8498468,355.7633972,407.6436406,789.9809557,793.569087,874.817162,532.0607508,533.7052096,577.5087445,257.9202049,259.8638774,297.3084175,146.7527997,144.8571563,164.5152183,51.8231578,48.9576365,54.1799951,94.9296419,95.8995198,110.3352232,10.9649853,11.0138179,12.1271529,11.7752944,11.7921997,12.6958219,9.8440296,9.9393089,11.3400422,11.9217148,11.9966708,13.0683555,11.8925849,11.940911,12.7826801,11.9822597,12.1128386,13.6614145,7.6571289,7.6019209,8.7688716,10.6925967,10.3826064,11.8383877,6.6296865,6.6875609,7.7785004,8542.9549738,8520.4444925,8570.291689,4958.5504041,4941.0869941,4975.563957,3584.4045697,3579.3574984,3594.727732,62.3671676,62.1964213,62.5602893,73.5671261,73.2996841,73.8111405,51.5184453,51.4400186,51.6609088,5128.960311,1765.375044,3363.585268,13699.252,6740.939,6958.313
1993-03-01,7610.130696,7631.5194414,7645.743799,4377.4300984,4393.2060904,4395.79143,3232.7005976,3238.313351,3249.952369,5847.338734,5860.4651457,5849.280153,3947.8708625,3958.036089,3950.587689,1899.4678716,1902.4290567,1898.692464,1762.791962,1771.0542957,1796.463645,429.5592359,435.1700014,445.2037404,1333.232726,1335.8842943,1351.259905,55.5043931,55.6414192,55.745129,64.8836881,65.0940529,65.1323598,46.4196016,46.4839187,46.6509894,930.247083,929.6772148,972.3606533,581.4225694,570.4534268,585.2131526,348.8245136,359.2237879,387.1475007,785.0019707,784.2133435,800.9879782,529.7477717,519.5396396,526.3124908,255.254199,264.6737039,274.6754874,145.2451123,145.4638713,171.3726751,51.6747976,50.9137872,58.9006618,93.5703146,94.5500841,112.4720133,10.8923411,10.8591971,11.2827671,11.7249414,11.4925978,11.7488981,9.7395524,9.9852698,10.6444012,11.8359717,11.8021262,12.0444464,11.8310159,11.6031458,11.7561811,11.8462702,12.2132512,12.6382414,7.6122794,7.5900074,8.7086854,10.7379765,10.4742821,11.6842189,6.55804,6.6098862,7.6839216,8540.377779,8561.1966562,8618.104452,4958.8526678,4963.6595173,4981.004582,3581.5251112,3597.5371389,3637.09987,62.2891386,62.4196971,62.834612,73.5017219,73.5464507,73.8034522,51.4285081,51.6403466,52.2082443,5097.432548,1768.008418,3329.42413,13715.537,6749.013,6966.524
1993-04-01,7613.3575439,7612.2977828,7572.586102,4381.0586805,4378.6004749,4360.832473,3232.2988635,3233.6973079,3211.753629,5855.035813,5857.8940621,5808.242005,3953.0983903,3955.4671669,3926.939252,1901.9374227,1902.4268953,1881.302753,1758.3217309,1754.4037207,1764.344097,427.9602902,423.1333081,433.8932213,1330.3614408,1331.2704126,1330.450876,55.4795809,55.4673237,55.1779629,64.8806735,64.8372638,64.5741595,46.3736971,46.389744,46.0749459,927.2967134,918.4661783,920.8740118,580.436279,582.7268643,578.3835148,346.8604344,335.7393139,342.490497,782.4802608,775.0976351,770.6069073,528.7996643,528.2550473,521.9706,253.6805965,246.8425878,248.6363073,144.8164526,143.3685432,150.2671045,51.6366147,54.471817,56.4129148,93.1798379,88.8967262,93.8541897,10.8574435,10.7665173,10.8421538,11.6988183,11.7453823,11.7100268,9.6911147,9.4059469,9.6360994,11.7887513,11.6854908,11.7134003,11.7985652,11.7816185,11.7325506,11.7683464,11.4849529,11.6734001,7.6093504,7.5545705,7.8484396,10.7666697,11.4051994,11.5056514,6.5456365,6.2595961,6.5894724,8540.6542574,8530.7639611,8493.460114,4961.4949595,4961.3273393,4939.215988,3579.1592979,3569.4366218,3554.244126,62.2369192,62.1597656,61.8879496,73.4765631,73.4661432,73.1387237,51.3500936,51.2061691,50.9882217,5230.471886,1814.000012,3416.471874,13723.932,6753.216,6970.716
1993-05-01,7617.30517,7613.1702361,7620.506789,4385.2734077,4382.2879765,4378.860635,3232.0317623,3230.8822596,3241.646154,5859.1868669,5853.4080909,5831.140528,3956.5664424,3954.7986449,3944.320222,1902.6204245,1898.609446,1886.820307,1758.1183031,1759.7621452,1789.366261,428.7069652,427.4893316,434.5404131,1329.4113378,1332.2728136,1354.825848,55.4638072,55.4397721,55.4931975,64.8907598,64.8515154,64.8007957,46.3326721,46.3215036,46.4758267,928.1832266,920.5445418,915.4072899,580.4382577,579.4280075,577.2050933,347.7449689,341.1165343,338.2021966,783.0377858,774.8868593,770.2137985,528.9663531,526.9702014,525.4358213,254.0714327,247.9166579,244.7779772,145.1454408,145.6576825,145.1934915,51.4719046,52.4578061,51.769272,93.6735362,93.1998764,93.4242194,10.8616756,10.7871492,10.7241859,11.6889239,11.6779761,11.6464374,9.7141524,9.5497382,9.4473889,11.788788,11.6905911,11.6675119,11.7927207,11.7580852,11.7553579,11.7806089,11.5496689,11.4833071,7.6261339,7.6443879,7.5052472,10.7193189,10.9299133,10.6453303,6.5824279,6.5381734,6.4508348,8545.4883965,8533.7147779,8535.914079,4965.7116653,4961.715984,4956.065728,3579.7767312,3571.9987939,3579.848351,62.2221783,62.143258,62.1592735,73.4797522,73.4262108,73.3425952,51.3177572,51.2121277,51.3246677,5196.411921,1801.352272,3395.059649,13732.326,6757.418,6974.908
